"Month","TSS completion","TSS ease","TSS satisfaction","Surveys completed",
"4/1/2024",0.729890036654448,0.574541819393535,0.557547484171942,15005,
"3/1/2024",0.764548712935809,0.604040404040404,0.586901270772238,15345,
"2/1/2024",0.778026487595597,0.590250575141453,0.589753155505813,16083,
"1/1/2024",0.777043609590334,0.615694418224152,0.601409602919891,15891,
"12/1/2023",0.782949574977304,0.61962531979863,0.601138895766278,12117,
"11/1/2023",0.771129828637815,0.616395585245425,0.598896311356375,13772,
"10/1/2023",0.768135245901639,0.618852459016393,0.603637295081967,19520,
"9/1/2023",0.759107468123861,0.607417526816433,0.594565877352762,19764,
"8/1/2023",0.754558492112272,0.613552550706822,0.595164925220241,19524,
"7/1/2023",0.766897255613517,0.623780902699024,0.59253799047403,17636,
"6/1/2023",0.706169801371067,0.584426085428019,0.556512568113904,28445,
"5/1/2023",0.736788703813308,0.593261182041092,0.580916546884247,23654,
