# Top pages (E/F) ,Visits,,,
Top Pages,Visits,,,
Sign in to your IRCC secure account,5618793,,,
Immigration and citizenship,2581520,,,
Check processing times,1236333,,,
My application,1098469,,,
How to check your application status,1058466,,,
Ouvrir une session dans votre compte sÃ©curisÃ© dâ€™IRCC,1040972,,,
Choisir le Canada,779990,,,
How to apply for a visitor visa,757699,,,
Comprehensive Ranking System (CRS) tool: skilled immigrants (Express Entry),676767,,,
Express Entry rounds of invitations,660162,,,
,,,,
Top pages,Link,Instances,,
Immigration and citizenship,My application,741182,,
Immigration and citizenship,Visit,174016,,
Immigration and citizenship,Immigrate,118954,,
Immigration and citizenship,Work,83700,,
Immigration and citizenship,Study,76329,,
Immigration and citizenship,Citizenship,45582,,
Immigration and citizenship,New immigrants,19383,,
Immigration and citizenship,Refugees and asylum,11616,,
Immigration and citizenship,Canadians,7330,,
Immigration and citizenship,Immigration fraud and scams,2410,,
Immigration and citizenship,Enforcement and violations,6,,
,,,,
Top pages,Link,Instances,,
Visit Canada,Apply for a visitor visa,332438,,
Visit Canada,Apply for an Electronic Travel Authorization (eTA),46122,,
Visit Canada,Stay in Canada longer,24042,,
Visit Canada,Visitor visas for workers and students,21923,,
Visit Canada,Visit your children or grandchildren,11425,,
Visit Canada,Transit through Canada,6110,,
Visit Canada,Visit Canada on business,5748,,
,,,,
Top pages,Link,Instances,,
Immigrate to Canada,Express Entry,86097,,
Immigrate to Canada,Family sponsorship,39457,,
Immigrate to Canada,Provincial nominees,33281,,
Immigrate to Canada,Caregivers,14320,,
Immigrate to Canada,Temporary resident to permanent resident pathway,12211,,
Immigrate to Canada,Atlantic Immigration Program,10493,,
Immigrate to Canada,Rural and Northern Immigration Pilot,10156,,
Immigrate to Canada,Start-up visa,8881,,
Immigrate to Canada,Quebec-selected skilled workers,8483,,
Immigrate to Canada,Refugees,8069,,
,,,,
,,,,
Top pages,Link,Instances,,
Get a work permit,Temporary workers,26899,,
Get a work permit,Caregivers,6691,,
Get a work permit,Work and travel in Canada with International Experience Canada,6158,,
Get a work permit,Agricultural workers,6051,,
Get a work permit,Open work permit for vulnerable foreign workers,3933,,
Get a work permit,Open work permit for Ukrainian nationals,3037,,
Get a work permit,H-1B visa holder work permit,1726,,
Get a work permit,business people,1571,,
Get a work permit,Open work permit for Hong Kong recent graduates,1416,,
Get a work permit,French-speaking workers outside Quebec,779,,
,,,,
# Performance of top tasks,Survey Data - TSS - Task (Sampling),Survey Data - TSS - Task (Sampling),Survey Data - TSS - Task (Sampling),
TSS Tasks,Completion,Ease,Satisfaction,Completed
Apply for a work permit,0.818224964,0.547223541,0.55671571,4214
Check your application status,0.78226601,0.64679803,0.603940887,2030
Apply for Canadian citizenship,0.804292929,0.575126263,0.601641414,1584
Apply for a visitor visa to Canada,0.813176008,0.611602753,0.614552606,1017
Renew a Canadian passport,0.76806904,0.673139159,0.635382956,927
Immigrate through Express Entry,0.716049383,0.626886145,0.65569273,729
Study in Canada â€“ for non-Canadians,0.810693642,0.617052023,0.667630058,692
"Contact Immigration, Refugees and Citizenship Canada",0.694117647,0.529411765,0.567647059,680
Check if you need a visa or electronic travel authorization (eTA) to travel to Canada,0.789552239,0.619402985,0.608955224,670
Apply for an Electronic Travel Authorization (eTA),0.812977099,0.65648855,0.641221374,524
,,,,
Feedback Pages Yes,Yes,No,Percentage Yes,
How to check your application status,18044,14491,0.554602736,
How to renew a passport in Canada,7215,4548,0.613363938,
Find out if you need a visa to travel to Canada,6964,3345,0.675526239,
Find an IRCC application package or form,6671,4834,0.579834854,
How to apply for a visitor visa,6322,3645,0.634293167,
Sign in to your IRCC secure account,5548,6437,0.462911973,
Rappels importants â€“ prÃ©senter une demande dâ€™AVE,4603,1455,0.759821723,
Designated learning institutions list,3681,1653,0.690101237,
How to apply for an adult passport in Canada,3285,2395,0.57834507,
Comment vÃ©rifier lâ€™Ã©tat de sa demande,3200,2615,0.550300946,
,,,,
Feedback_Pages_No,Yes,No,Percentage_No,
How to check your application status,18044,14491,0.445397264,
Sign in to your IRCC secure account,5548,6437,0.537088027,
Find an IRCC application package or form,6671,4834,0.420165146,
How to renew a passport in Canada,7215,4548,0.386636062,
How to apply for a visitor visa,6322,3645,0.365706833,
Find out if you need a visa to travel to Canada,6964,3345,0.324473761,
Comment vÃ©rifier lâ€™Ã©tat de sa demande,3200,2615,0.449699054,
How to apply for an adult passport in Canada,3285,2395,0.42165493,
Visit Canada,2338,2282,0.493939394,
Register for an IRCC secure account,2468,2274,0.479544496,
